package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,379d050a-da40-48a4-a878-a74c0a070072,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.landesforstinventar-vegetationshoehenmodell,text/html,2026-05-21T00:00:00,,terms_by,false,false
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,1eb6d229-f77a-470e-b953-8c4e57b1cabe,ch.bafu.landesforstinventar-licht_verjuengungspotential,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2026-05-21T00:00:00,,terms_by,false,false
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,b02ec5de-a7eb-44dc-8a9c-6a7e7ac63ff8,STAC Browser,OCTET,https://data.geo.admin.ch/browser,,2026-05-21T00:00:00,,terms_by,true,false
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,13d3937b-48f9-497a-8d88-fa225929d53e,ch.bafu.landesforstinventar-licht_verjuengungspotential,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2026-05-21T00:00:00,,terms_by,false,false
schweizweite-hinweiskarten-des-lichtbedingten-verjungungspotentials-stand-lfi-vhm-2024,ac83a9d3-731b-4ad7-9ce0-cb13613a081b,RESTful API von geo.admin.ch,XML,https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bafu.landesforstinventar-vegetationshoehenmodell,application/xml,2026-05-21T00:00:00,,terms_by,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha11,268e0fc7-c9b7-4185-aa9f-7dd248e85855,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.erosion-gruenland_bodenabtrag_dez,text/html,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha11,844c40fc-5c9a-4753-b8e1-0ad95483ab8a,ch.bafu.erosion-gruenland_bodenabtrag_dez,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha11,15366ad6-8995-477d-9572-985e4dfc2abe,ch.bafu.erosion-gruenland_bodenabtrag_dez,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha11,50bd1ff2-80a6-4921-b5a2-aaf50fc1befb,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.erosion-gruenland_bodenabtrag/items/erosion-gruenland_bodenabtrag_dez,,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,true,false
geochemischer-bodenatlas-der-schweiz-quecksilber,9b6a6987-5528-4606-b440-30db905cdefe,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.geochemischer-bodenatlas_schweiz_quecksilber/items/geochemischer-bodenatlas_schweiz_quecksilber,,2023-06-30T00:00:00,,terms_open,true,false
